date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,cum_titles_home,cum_runner_up_home,cum_third_home,cum_titles_away,cum_runner_up_away,cum_third_away,tournament_score,elo_home,elo_away,elo_diff,home_last5_wins,home_last5_losses,home_last5_draws,away_last5_wins,away_last5_losses,away_last5_draws,h2h_home_wins,h2h_away_wins,h2h_draw,h2h_diff,result
1919-05-18,Brazil,Argentina,3.0,1.0,Copa América,Rio de Janeiro,Brazil,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1502.7836330734287,1520.2815661719776,-17.497933098548856,2.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0
1919-05-26,Brazil,Uruguay,2.0,2.0,Copa América,Rio de Janeiro,Brazil,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1528.284434827734,1545.8617663129746,-17.57733148524062,3.0,2.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,-2.0,1.0
1919-05-29,Brazil,Uruguay,1.0,0.0,Copa América,Rio de Janeiro,Brazil,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1525.2894372217183,1548.8567639189903,-23.567326697271938,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,-2.0,2.0
1919-06-01,Brazil,Argentina,3.0,3.0,Friendly,Rio de Janeiro,Brazil,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1542.6323579927073,1494.7807644176723,47.85159357503494,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0
1919-06-12,Denmark,Norway,5.0,1.0,Friendly,Copenhagen,Denmark,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1551.3311537636675,1356.0660930699332,195.2650606937343,4.0,1.0,0.0,2.0,3.0,0.0,7.0,1.0,0.0,6.0,2.0
1919-06-29,Norway,Sweden,4.0,3.0,Friendly,Kristiania,Norway,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1349.3747902862515,1581.3344215004931,-231.95963121424165,2.0,3.0,0.0,2.0,1.0,2.0,1.0,6.0,3.0,-5.0,2.0
1919-08-31,Norway,Netherlands,1.0,1.0,Friendly,Oslo,Norway,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1363.7256828427455,1500.0,-136.27431715725447,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1919-09-14,Sweden,Norway,1.0,5.0,Friendly,Gothenburg,Sweden,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1566.983528943999,1365.6104066996281,201.37312224437096,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,3.0,0.0
1919-09-21,Norway,Denmark,3.0,2.0,Friendly,Kristiania,Norway,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1396.6102145320147,1558.0224565473493,-161.41224201533464,2.0,2.0,1.0,4.0,1.0,0.0,1.0,8.0,0.0,-7.0,2.0
1920-06-13,Norway,Denmark,1.0,1.0,Friendly,Kristiania,Norway,False,1920,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1409.18219440295,1545.450476676414,-136.2682822734639,3.0,1.0,1.0,3.0,2.0,0.0,2.0,8.0,0.0,-6.0,1.0
1920-06-27,Norway,Sweden,0.0,3.0,Friendly,Kristiania,Norway,False,1920,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1411.0667507314358,1535.9837211116126,-124.91697038017674,3.0,0.0,2.0,2.0,3.0,0.0,3.0,4.0,3.0,-1.0,0.0
1920-08-29,Czechoslovakia,Norway,4.0,0.0,Olympic Games,Brussels,Belgium,True,1920,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1500.0,1396.310057864174,103.68994213582596,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
1920-08-31,Italy,Norway,2.0,1.0,Olympic Games,Antwerp,Belgium,True,1920,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1500.0,1381.1803297879903,118.81967021200967,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
1920-09-11,Chile,Brazil,0.0,1.0,Copa América,Viña del Mar,Chile,False,1920,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1431.073034441619,1539.3646908858118,-108.29165644419277,0.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,-2.0,0.0
1920-09-18,Brazil,Uruguay,0.0,6.0,Copa América,Viña del Mar,Chile,True,1920,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1557.1693275984242,1531.5138431480013,25.65548445042282,3.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,-1.0,0.0
1920-09-25,Argentina,Brazil,2.0,0.0,Copa América,Viña del Mar,Chile,True,1920,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1498.0484315245678,1503.2552368198412,-5.206805295273398,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0
1920-09-26,Sweden,Norway,0.0,0.0,Friendly,Stockholm,Sweden,False,1920,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1550.7404139788744,1373.6144443913568,177.1259695875176,2.0,3.0,0.0,1.0,3.0,1.0,5.0,3.0,2.0,2.0,1.0
1921-05-25,Norway,Finland,3.0,2.0,Friendly,Kristiania,Norway,False,1921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1379.7292687848305,1500.0,-120.27073121516946,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1921-06-19,Norway,Sweden,3.0,1.0,Friendly,Kristiania,Norway,False,1921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1391.1661633723943,1544.6255895854006,-153.45942621300628,1.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,-1.0,2.0
1921-09-18,Sweden,Norway,0.0,3.0,Friendly,Stockholm,Sweden,False,1921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1526.0900997230206,1409.7016532347743,116.38844648824625,1.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,-1.0,0.0
1921-10-02,Argentina,Brazil,1.0,0.0,Copa América,Buenos Aires,Argentina,False,1921,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1522.5177058809145,1478.7859624634946,43.73174341741992,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0
1921-10-02,Denmark,Norway,3.0,1.0,Friendly,Copenhagen,Denmark,False,1921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1543.565920347928,1435.7820876245946,107.78383272333349,2.0,2.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,5.0,2.0
1921-10-12,Brazil,Paraguay,3.0,0.0,Copa América,Buenos Aires,Argentina,True,1921,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1465.1086479004894,1500.0,-34.89135209951064,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1921-10-23,Brazil,Uruguay,1.0,2.0,Copa América,Buenos Aires,Argentina,True,1921,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1496.5838588547579,1585.4279339265843,-88.84407507182641,2.0,3.0,0.0,3.0,1.0,1.0,2.0,4.0,1.0,-2.0,0.0
1922-05-25,Norway,Northern Ireland,2.0,1.0,Friendly,Bergen,Norway,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1427.8511531422143,1500.0,-72.14884685778566,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1922-06-11,Norway,France,7.0,0.0,Friendly,Kristiania,Norway,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1437.9130011378716,1500.0,-62.08699886212844,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1922-08-23,Sweden,Norway,0.0,0.0,Friendly,Stockholm,Sweden,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0096653332002,1459.9006421435577,40.109023189642585,1.0,3.0,1.0,4.0,1.0,0.0,3.0,5.0,2.0,-2.0,1.0
1922-08-26,Finland,Norway,1.0,3.0,Friendly,Helsinki,Finland,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1488.5631054124362,1462.9678284952945,25.595276917141746,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0
1922-09-10,Norway,Denmark,3.0,3.0,Friendly,Fredrikstad,Norway,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1481.9939191302503,1551.4968548303084,-69.50293570005806,3.0,1.0,1.0,3.0,1.0,1.0,2.0,7.0,1.0,-5.0,1.0
1922-09-17,Brazil,Chile,1.0,1.0,Copa América,Rio de Janeiro,Brazil,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1477.6675485853186,1413.2683977290067,64.39915085631196,1.0,4.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,3.0,1.0
1922-09-24,Brazil,Paraguay,1.0,1.0,Copa América,Rio de Janeiro,Brazil,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1470.295032868991,1468.5247890457315,1.770243823259534,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1922-09-24,Norway,Sweden,0.0,5.0,Friendly,Kristiania,Norway,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1481.97961247942,1496.9424789814634,-14.962866502043425,3.0,0.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,0.0
1922-10-01,Brazil,Uruguay,0.0,0.0,Copa América,Rio de Janeiro,Brazil,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1466.221384567859,1604.3442441960235,-138.1228596281644,1.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,-3.0,1.0
1922-10-15,Brazil,Argentina,2.0,0.0,Copa América,Rio de Janeiro,Brazil,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1470.0933592588713,1536.19502044392,-66.10166118504867,1.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,-2.0,2.0
1922-10-22,Brazil,Argentina,2.0,1.0,Copa Roca,São Paulo,Brazil,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1499.756763752448,1506.5316159503432,-6.774852197895143,1.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,-1.0,2.0
1922-10-29,Brazil,Paraguay,3.0,1.0,Friendly,São Paulo,Brazil,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1507.9568226315662,1472.5984373468634,35.35838528470276,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
1922-11-06,Brazil,Paraguay,3.0,0.0,Copa América,Rio de Janeiro,Brazil,False,1922,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1518.542620290443,1462.0126396879866,56.52998060245636,3.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0
1923-06-17,Norway,Finland,3.0,0.0,Friendly,Kristiania,Norway,False,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1458.8376575294,1469.5370147774804,-10.699357248080332,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
1923-06-21,Norway,Switzerland,2.0,2.0,Friendly,Kristiania,Norway,False,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1473.3794114530483,1500.0,-26.620588546951694,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1923-09-16,Norway,Sweden,2.0,3.0,Friendly,Kristiania,Norway,False,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1472.1372993634234,1520.0844339314833,-47.94713456805994,2.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,0.0
1923-09-30,Denmark,Norway,2.0,1.0,Friendly,Copenhagen,Denmark,False,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1551.5111614811387,1461.5034179166448,90.00774356449392,2.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,2.0,4.0,2.0
1923-10-28,France,Norway,0.0,2.0,Friendly,Paris,France,False,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1478.012358994314,1455.8086545065526,22.203704487761343,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,-1.0,0.0
1923-11-01,Brittany,Norway,1.0,5.0,Friendly,Rennes,France,False,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1474.6985153695055,25.301484630494542,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1923-11-04,Germany,Norway,1.0,0.0,Friendly,Hamburg,Germany,False,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1498.4664125116196,1.5335874883803626,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
1923-11-11,Brazil,Paraguay,0.0,1.0,Copa América,Montevideo,Uruguay,True,1923,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1541.331371837155,1439.2238881412745,102.10748369588055,4.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,3.0,0.0
1923-11-18,Argentina,Brazil,2.0,1.0,Copa América,Montevideo,Uruguay,True,1923,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1498.331557071225,1512.1620858662418,-13.83052879501679,2.0,2.0,1.0,4.0,1.0,0.0,4.0,4.0,2.0,0.0,2.0
1923-11-22,Brazil,Paraguay,2.0,0.0,Friendly,Montevideo,Uruguay,True,1923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1495.3675819690866,1468.3931741121878,26.97440785689878,3.0,2.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0
