,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
41154,2017-11-10,Portugal,Saudi Arabia,3.0,0.0,Friendly,Viseu,Portugal,False
41163,2017-11-11,Ivory Coast,Morocco,0.0,2.0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
41164,2017-11-11,North Macedonia,Norway,2.0,0.0,Friendly,Skopje,North Macedonia,False
41169,2017-11-11,Russia,Argentina,0.0,1.0,Friendly,Moscow,Russia,False
41170,2017-11-11,Spain,Costa Rica,5.0,0.0,Friendly,Málaga,Spain,False
41176,2017-11-12,Ghana,Egypt,1.0,1.0,FIFA World Cup qualification,Kumasi,Ghana,False
41179,2017-11-12,Switzerland,Northern Ireland,0.0,0.0,FIFA World Cup qualification,Basel,Switzerland,False
41192,2017-11-14,Argentina,Nigeria,2.0,4.0,Friendly,Krasnodar,Russia,True
41194,2017-11-14,Belgium,Japan,1.0,0.0,Friendly,Bruges,Belgium,False
41198,2017-11-14,China,Colombia,0.0,4.0,Friendly,Chongqing,China,False
41199,2017-11-14,England,Brazil,0.0,0.0,Friendly,London,England,False
41201,2017-11-14,Germany,France,2.0,2.0,Friendly,Cologne,Germany,False
41210,2017-11-14,Portugal,United States,1.0,1.0,Friendly,Leiria,Portugal,False
41213,2017-11-14,Russia,Spain,3.0,3.0,Friendly,Saint Petersburg,Russia,False
41216,2017-11-14,Slovakia,Norway,1.0,0.0,Friendly,Trnava,Slovakia,False
41306,2018-01-28,United States,Bosnia and Herzegovina,0.0,0.0,Friendly,Carson,United States,False
41346,2018-03-23,France,Colombia,2.0,3.0,Friendly,Saint-Denis,France,False
41348,2018-03-23,Germany,Spain,1.0,1.0,Friendly,Düsseldorf,Germany,False
41349,2018-03-23,Greece,Switzerland,0.0,1.0,Friendly,Athens,Greece,False
41352,2018-03-23,Italy,Argentina,0.0,2.0,Friendly,Manchester,England,True
41355,2018-03-23,Netherlands,England,0.0,1.0,Friendly,Amsterdam,Netherlands,False
41356,2018-03-23,Norway,Australia,4.0,1.0,Friendly,Oslo,Norway,False
41359,2018-03-23,Portugal,Egypt,2.0,1.0,Friendly,Zürich,Switzerland,True
41363,2018-03-23,Serbia,Morocco,1.0,2.0,Friendly,Turin,Italy,True
